expressionID,operandID,arg1,arg2,expressionValue,description,expressionName,expressionTypeID,expressionGroupID,expressionAttributeID
3064,58,3062,867,None,"Autogenerated RIM, Other.trackingSpeed.RIM(trackingSpeedMultiplier,PostMul)",((CurrentOther->trackingSpeed).(PostMul)).RemoveItemModifier (trackingSpeedMultiplier),None,None,None
3065,9,1211,2796,None,"Autogenerated ALRSM, (damageMultiplier of modules on Ship requiring Medium Projectile Turret).ALRSM(PostPercent,shipBonusMC)",((CurrentShip[Type(Medium Projectile Turret)]->damageMultiplier).(PostPercent)).ALRSM(shipBonusMC),None,None,None
3066,61,1211,2796,None,"Autogenerated RLRSM, (damageMultiplier of modules on Ship requiring Medium Projectile Turret).RLRSM(PostPercent,shipBonusMC)",((CurrentShip[Type(Medium Projectile Turret)]->damageMultiplier).(PostPercent)).RLRSM(shipBonusMC),None,None,None
3067,12,1209,651,None,"Autogenerated ATT, speed on modules requiring Medium Projectile Turret on Ship",CurrentShip[Type(Medium Projectile Turret)]->speed,None,None,None
3068,31,1095,3067,None,"Autogenerated EFF, PostPercent modification to speed on modules requiring Medium Projectile Turret on Ship",(CurrentShip[Type(Medium Projectile Turret)]->speed).(PostPercent),None,None,None
3069,9,3068,2796,None,"Autogenerated ALRSM, (speed of modules on Ship requiring Medium Projectile Turret).ALRSM(PostPercent,shipBonusMC)",((CurrentShip[Type(Medium Projectile Turret)]->speed).(PostPercent)).ALRSM(shipBonusMC),None,None,None
3070,61,3068,2796,None,"Autogenerated RLRSM, (speed of modules on Ship requiring Medium Projectile Turret).RLRSM(PostPercent,shipBonusMC)",((CurrentShip[Type(Medium Projectile Turret)]->speed).(PostPercent)).RLRSM(shipBonusMC),None,None,None
3071,12,1191,651,None,"Autogenerated ATT, speed on modules requiring Large Projectile Turret on Ship",CurrentShip[Type(Large Projectile Turret)]->speed,None,None,None
3072,31,1095,3071,None,"Autogenerated EFF, PostPercent modification to speed on modules requiring Large Projectile Turret on Ship",(CurrentShip[Type(Large Projectile Turret)]->speed).(PostPercent),None,None,None
3073,9,3072,2797,None,"Autogenerated ALRSM, (speed of modules on Ship requiring Large Projectile Turret).ALRSM(PostPercent,shipBonusMB)",((CurrentShip[Type(Large Projectile Turret)]->speed).(PostPercent)).ALRSM(shipBonusMB),None,None,None
3074,61,3072,2797,None,"Autogenerated RLRSM, (speed of modules on Ship requiring Large Projectile Turret).RLRSM(PostPercent,shipBonusMB)",((CurrentShip[Type(Large Projectile Turret)]->speed).(PostPercent)).RLRSM(shipBonusMB),None,None,None
3075,22,None,None,None,,shipBonusMB2,None,None,518
3076,9,3072,3075,None,"Autogenerated ALRSM, (speed of modules on Ship requiring Large Projectile Turret).ALRSM(PostPercent,shipBonusMB2)",((CurrentShip[Type(Large Projectile Turret)]->speed).(PostPercent)).ALRSM(shipBonusMB2),None,None,None
3077,61,3072,3075,None,"Autogenerated RLRSM, (speed of modules on Ship requiring Large Projectile Turret).RLRSM(PostPercent,shipBonusMB2)",((CurrentShip[Type(Large Projectile Turret)]->speed).(PostPercent)).RLRSM(shipBonusMB2),None,None,None
3078,12,4,3075,None,"Autogenerated ATT, Ship.shipBonusMB2",CurrentShip->shipBonusMB2,None,None,None
3079,31,5,3078,None,"Autogenerated EFF, PreMul modification to Ship.shipBonusMB2",(CurrentShip->shipBonusMB2).(PreMul),None,None,None
3080,6,3079,1059,None,"Autogenerated AIM, Ship.shipBonusMB2.AIM(skillLevel,PreMul)",((CurrentShip->shipBonusMB2).(PreMul)).AddItemModifier (skillLevel),None,None,None
3081,58,3079,1059,None,"Autogenerated RIM, Ship.shipBonusMB2.RIM(skillLevel,PreMul)",((CurrentShip->shipBonusMB2).(PreMul)).RemoveItemModifier (skillLevel),None,None,None
3083,17,485,3488,None,,((CurrentShip->shieldCapacity).(PostMul)).AddItemModifier (shieldCapacityMultiplier));     (((CurrentShip->maxVelocity).(PostPercent)).AddItemModifier (speedFactor),None,None,None
3084,17,486,3490,None,,((CurrentShip->shieldCapacity).(PostMul)).RemoveItemModifier (shieldCapacityMultiplier));     (((CurrentShip->maxVelocity).(PostPercent)).RemoveItemModifier (speedFactor),None,None,None
3085,17,3083,566,None,,((CurrentShip->shieldCapacity).(PostMul)).AddItemModifier (shieldCapacityMultiplier));     (((CurrentShip->maxVelocity).(PostPercent)).AddItemModifier (speedFactor));     (((CurrentShip->agility).(PostMul)).AddItemModifier (agilityMultiplier),None,None,None
3086,17,3084,567,None,,((CurrentShip->shieldCapacity).(PostMul)).RemoveItemModifier (shieldCapacityMultiplier));     (((CurrentShip->maxVelocity).(PostPercent)).RemoveItemModifier (speedFactor));     (((CurrentShip->agility).(PostMul)).RemoveItemModifier (agilityMultiplier),None,None,None
3087,22,None,None,None,The percentage of capacitor capacity required to engage cloaking.,cloakingCapacitorNeedRatio,None,None,519
3092,12,4,2888,None,"Autogenerated ATT, Ship.shipBonusGB",CurrentShip->shipBonusGB,None,None,None
3093,31,5,3092,None,"Autogenerated EFF, PreMul modification to Ship.shipBonusGB",(CurrentShip->shipBonusGB).(PreMul),None,None,None
3094,6,3093,1059,None,"Autogenerated AIM, Ship.shipBonusGB.AIM(skillLevel,PreMul)",((CurrentShip->shipBonusGB).(PreMul)).AddItemModifier (skillLevel),None,None,None
3095,58,3093,1059,None,"Autogenerated RIM, Ship.shipBonusGB.RIM(skillLevel,PreMul)",((CurrentShip->shipBonusGB).(PreMul)).RemoveItemModifier (skillLevel),None,None,None
3096,22,None,None,None,%chance of new asteroid releasing damage cloud each mining turn.,damageCloudChance,None,None,522
3098,12,3,3096,None,"Autogenerated ATT, damageCloudChance owned by Char",CurrentChar->damageCloudChance,None,None,None
3099,31,6,3098,None,"Autogenerated EFF, PreDiv modification to damageCloudChance located on Char",(CurrentChar->damageCloudChance).(PreDiv),None,None,None
3100,8,3099,1059,None,"Autogenerated ALM, (damageCloudChance located on Char).ALM(skillLevel,PreDiv)",((CurrentChar->damageCloudChance).(PreDiv)).AddLocationModifier (skillLevel),None,None,None
3101,60,3099,1059,None,"Autogenerated RLM, (damageCloudChance located on Char).RLM(skillLevel,PreDiv)",((CurrentChar->damageCloudChance).(PreDiv)).RemoveLocationModifier (skillLevel),None,None,None
3102,6,3099,1059,None,"Autogenerated AIM, Char.damageCloudChance.AIM(skillLevel,PreDiv)",((CurrentChar->damageCloudChance).(PreDiv)).AddItemModifier (skillLevel),None,None,None
3103,58,3099,1059,None,"Autogenerated RIM, Char.damageCloudChance.RIM(skillLevel,PreDiv)",((CurrentChar->damageCloudChance).(PreDiv)).RemoveItemModifier (skillLevel),None,None,None
3104,22,None,None,None,,armorUniformity,None,None,524
3105,22,None,None,None,,structureUniformity,None,None,525
3106,22,None,None,None,,reqResearchSkill,None,None,526
3107,22,None,None,None,,reqManufacturingSkill,None,None,527
3108,22,None,None,None,,reqManufacturingSkillLevel,None,None,528
3109,22,None,None,None,,reqResearchSkillLevel,None,None,529
3110,22,None,None,None,,reqManufacturingTool,None,None,530
3111,22,None,None,None,,reqResearchTool,None,None,531
3112,22,None,None,None,,reqResearchComponent,None,None,532
3113,22,None,None,None,,Manufacturer_ID,None,None,534
3114,22,None,None,None,,reqManufacturingComponent2,None,None,535
3115,22,None,None,None,,reqResearchComponetAmount,None,None,536
3116,22,None,None,None,,reqManufacturingComponent1Amount,None,None,537
3117,22,None,None,None,,reqManufacturingComponent2Amount,None,None,538
3121,12,26,407,None,"Autogenerated ATT, Target.kineticDamageResonance",CurrentTarget->kineticDamageResonance,None,None,None
3122,31,5,3121,None,"Autogenerated EFF, PreMul modification to Target.kineticDamageResonance",(CurrentTarget->kineticDamageResonance).(PreMul),None,None,None
3123,6,3122,418,None,"Autogenerated AIM, Target.kineticDamageResonance.AIM(kineticDamageResonanceMultiplier,PreMul)",((CurrentTarget->kineticDamageResonance).(PreMul)).AddItemModifier (kineticDamageResonanceMultiplier),None,None,None
3124,58,3122,418,None,"Autogenerated RIM, Target.kineticDamageResonance.RIM(kineticDamageResonanceMultiplier,PreMul)",((CurrentTarget->kineticDamageResonance).(PreMul)).RemoveItemModifier (kineticDamageResonanceMultiplier),None,None,None
3125,12,26,408,None,"Autogenerated ATT, Target.thermalDamageResonance",CurrentTarget->thermalDamageResonance,None,None,None
3126,31,5,3125,None,"Autogenerated EFF, PreMul modification to Target.thermalDamageResonance",(CurrentTarget->thermalDamageResonance).(PreMul),None,None,None
3127,6,3126,417,None,"Autogenerated AIM, Target.thermalDamageResonance.AIM(thermalDamageResonanceMultiplier,PreMul)",((CurrentTarget->thermalDamageResonance).(PreMul)).AddItemModifier (thermalDamageResonanceMultiplier),None,None,None
3128,58,3126,417,None,"Autogenerated RIM, Target.thermalDamageResonance.RIM(thermalDamageResonanceMultiplier,PreMul)",((CurrentTarget->thermalDamageResonance).(PreMul)).RemoveItemModifier (thermalDamageResonanceMultiplier),None,None,None
3129,12,26,405,None,"Autogenerated ATT, Target.explosiveDamageResonance",CurrentTarget->explosiveDamageResonance,None,None,None
3130,31,1095,3129,None,"Autogenerated EFF, PostPercent modification to Target.explosiveDamageResonance",(CurrentTarget->explosiveDamageResonance).(PostPercent),None,None,None
3131,6,3130,420,None,"Autogenerated AIM, Target.explosiveDamageResonance.AIM(explosiveDamageResonanceMultiplier,PostPercent)",((CurrentTarget->explosiveDamageResonance).(PostPercent)).AddItemModifier (explosiveDamageResonanceMultiplier),None,None,None
3132,58,3130,420,None,"Autogenerated RIM, Target.explosiveDamageResonance.RIM(explosiveDamageResonanceMultiplier,PostPercent)",((CurrentTarget->explosiveDamageResonance).(PostPercent)).RemoveItemModifier (explosiveDamageResonanceMultiplier),None,None,None
3133,72,None,None,None,,CheckToolTargetSkills,None,None,None
3134,17,604,3133,None,,VerifyTargetGroup());     (CheckToolTargetSkills,None,None,None
3135,22,None,None,None,A relative strength that indicates how powerful this NPC entity is in combat.,entityStrength,None,None,542
3136,22,None,None,None,"Autogenerated skill attribute, damageCloudChanceReduction",damageCloudChanceReduction,None,None,543
3137,12,1,3136,None,"Autogenerated ATT, self.damageCloudChanceReduction",CurrentSelf->damageCloudChanceReduction,None,None,None
3138,31,5,3137,None,"Autogenerated EFF, PreMul modification to self.damageCloudChanceReduction",(CurrentSelf->damageCloudChanceReduction).(PreMul),None,None,None
3139,31,5,3137,None,"Autogenerated EFF, PreMul modification to self.damageCloudChanceReduction",(CurrentSelf->damageCloudChanceReduction).(PreMul),None,None,None
3140,6,3138,1059,None,"Autogenerated AIM, self.damageCloudChanceReduction.AIM(skillLevel,PreMul)",((CurrentSelf->damageCloudChanceReduction).(PreMul)).AddItemModifier (skillLevel),None,None,None
3141,6,3139,1059,None,"Autogenerated AIM, self.damageCloudChanceReduction.AIM(skillLevel,PreMul)",((CurrentSelf->damageCloudChanceReduction).(PreMul)).AddItemModifier (skillLevel),None,None,None
3142,58,3138,1059,None,"Autogenerated RIM, self.damageCloudChanceReduction.RIM(skillLevel,PreMul)",((CurrentSelf->damageCloudChanceReduction).(PreMul)).RemoveItemModifier (skillLevel),None,None,None
3143,58,3139,1059,None,"Autogenerated RIM, self.damageCloudChanceReduction.RIM(skillLevel,PreMul)",((CurrentSelf->damageCloudChanceReduction).(PreMul)).RemoveItemModifier (skillLevel),None,None,None
3144,22,None,None,None,The amount of time before applications of the cloud's effect.,cloudEffectDelay,None,None,544
3145,22,None,None,None,Number of milliseconds a temporary cloud hangs around.,cloudDuration,None,None,545
3146,22,None,None,None,The type of damage cloud generated by the asteroid.,damageCloudType,None,None,546
3147,31,7,3137,None,"Autogenerated EFF, ModAdd modification to self.damageCloudChanceReduction",(CurrentSelf->damageCloudChanceReduction).(ModAdd),None,None,None
3148,6,3147,1059,None,"Autogenerated AIM, self.damageCloudChanceReduction.AIM(skillLevel,ModAdd)",((CurrentSelf->damageCloudChanceReduction).(ModAdd)).AddItemModifier (skillLevel),None,None,None
3149,58,3147,1059,None,"Autogenerated RIM, self.damageCloudChanceReduction.RIM(skillLevel,ModAdd)",((CurrentSelf->damageCloudChanceReduction).(ModAdd)).RemoveItemModifier (skillLevel),None,None,None
3150,31,11,3098,None,"Autogenerated EFF, PostDiv modification to Char.damageCloudChance",(CurrentChar->damageCloudChance).(PostDiv),None,None,None
3151,6,3150,3136,None,"Autogenerated AIM, Char.damageCloudChance.AIM(damageCloudChanceReduction,PostDiv)",((CurrentChar->damageCloudChance).(PostDiv)).AddItemModifier (damageCloudChanceReduction),None,None,None
3152,58,3150,3136,None,"Autogenerated RIM, Char.damageCloudChance.RIM(damageCloudChanceReduction,PostDiv)",((CurrentChar->damageCloudChance).(PostDiv)).RemoveItemModifier (damageCloudChanceReduction),None,None,None
3153,6,2187,2229,None,"Autogenerated AIM, Char.miningDroneAmountPercent.AIM(miningAmountBonus,PostPercent)",((CurrentChar->miningDroneAmountPercent).(PostPercent)).AddItemModifier (miningAmountBonus),None,None,None
3154,58,2187,2229,None,"Autogenerated RIM, Char.miningDroneAmountPercent.RIM(miningAmountBonus,PostPercent)",((CurrentChar->miningDroneAmountPercent).(PostPercent)).RemoveItemModifier (miningAmountBonus),None,None,None
3155,22,None,None,None,"Autogenerated skill attribute, missileVelocityBonus ",missileVelocityBonus,None,None,547
3156,12,1,3155,None,"Autogenerated ATT, self.missileVelocityBonus ",CurrentSelf->missileVelocityBonus,None,None,None
3157,31,5,3156,None,"Autogenerated EFF, PreMul modification to self.missileVelocityBonus ",(CurrentSelf->missileVelocityBonus).(PreMul),None,None,None
3158,6,3157,1059,None,"Autogenerated AIM, self.missileVelocityBonus .AIM(skillLevel,PreMul)",((CurrentSelf->missileVelocityBonus).(PreMul)).AddItemModifier (skillLevel),None,None,None
3159,58,3157,1059,None,"Autogenerated RIM, self.missileVelocityBonus .RIM(skillLevel,PreMul)",((CurrentSelf->missileVelocityBonus).(PreMul)).RemoveItemModifier (skillLevel),None,None,None
3160,29,None,None,None,This is some useful type or other,Standard Missiles,3321,None,None
3161,49,3,3160,None,"Autogenerated LRS, modules on Char that require Standard Missiles",CurrentChar[Standard Missiles],None,None,None
3162,12,3161,1979,None,"Autogenerated ATT, missileVelocityPecent on modules requiring Standard Missiles on Char",CurrentChar[Standard Missiles]->missileStandardVelocityPecent,None,None,None
3163,31,1095,3162,None,"Autogenerated EFF, PostPercent modification to missileVelocityPecent on modules requiring Standard Missiles on Char",(CurrentChar[Standard Missiles]->missileStandardVelocityPecent).(PostPercent),None,None,None
3164,9,3163,3155,None,"Autogenerated ALRSM, (missileVelocityPecent of modules on Char requiring Standard Missiles).ALRSM(PostPercent,missileVelocityBonus )",((CurrentChar[Standard Missiles]->missileStandardVelocityPecent).(PostPercent)).ALRSM(missileVelocityBonus),None,None,None
3165,61,3163,3155,None,"Autogenerated RLRSM, (missileVelocityPecent of modules on Char requiring Standard Missiles).RLRSM(PostPercent,missileVelocityBonus )",((CurrentChar[Standard Missiles]->missileStandardVelocityPecent).(PostPercent)).RLRSM(missileVelocityBonus),None,None,None
3166,22,None,None,None,,shieldBoostMultiplier,None,None,548
3167,29,None,None,None,This is some useful type or other,Shield Operation,3416,None,None
3168,49,4,3167,None,"Autogenerated LRS, modules on Ship that require Shield Operation",CurrentShip[Shield Operation],None,None,None
3169,12,3168,182,None,"Autogenerated ATT, shieldBonus on modules requiring Shield Operation on Ship",CurrentShip[Shield Operation]->shieldBonus,None,None,None
3170,31,1095,3169,None,"Autogenerated EFF, PostPercent modification to shieldBonus on modules requiring Shield Operation on Ship",(CurrentShip[Shield Operation]->shieldBonus).(PostPercent),None,None,None
3171,9,3170,3166,None,"Autogenerated ALRSM, (shieldBonus of modules on Ship requiring Shield Operation).ALRSM(PostPercent,shieldBoostMultiplier)",((CurrentShip[Shield Operation]->shieldBonus).(PostPercent)).ALRSM(shieldBoostMultiplier),None,None,None
3172,61,3170,3166,None,"Autogenerated RLRSM, (shieldBonus of modules on Ship requiring Shield Operation).RLRSM(PostPercent,shieldBoostMultiplier)",((CurrentShip[Shield Operation]->shieldBonus).(PostPercent)).RLRSM(shieldBoostMultiplier),None,None,None
3173,22,None,None,None,,powerIncrease,None,None,549
3174,6,390,3173,None,"Autogenerated AIM, Ship.powerOutput.AIM(powerIncrease,ModAdd)",((CurrentShip->powerOutput).(ModAdd)).AddItemModifier (powerIncrease),None,None,None
3175,58,390,3173,None,"Autogenerated RIM, Ship.powerOutput.RIM(powerIncrease,ModAdd)",((CurrentShip->powerOutput).(ModAdd)).RemoveItemModifier (powerIncrease),None,None,None
3176,12,26,2697,None,"Autogenerated ATT, shieldThermalDamageResonance owned by Target",CurrentTarget->shieldThermalDamageResonance,None,None,None
3177,31,5,3176,None,"Autogenerated EFF, PreMul modification to shieldThermalDamageResonance located on Target",(CurrentTarget->shieldThermalDamageResonance).(PreMul),None,None,None
3178,8,3177,417,None,"Autogenerated ALM, (shieldThermalDamageResonance located on Target).ALM(thermalDamageResonanceMultiplier,PreMul)",((CurrentTarget->shieldThermalDamageResonance).(PreMul)).AddLocationModifier (thermalDamageResonanceMultiplier),None,None,None
3179,60,3177,417,None,"Autogenerated RLM, (shieldThermalDamageResonance located on Target).RLM(thermalDamageResonanceMultiplier,PreMul)",((CurrentTarget->shieldThermalDamageResonance).(PreMul)).RemoveLocationModifier (thermalDamageResonanceMultiplier),None,None,None
3180,6,3177,417,None,"Autogenerated AIM, Target.shieldThermalDamageResonance.AIM(thermalDamageResonanceMultiplier,PreMul)",((CurrentTarget->shieldThermalDamageResonance).(PreMul)).AddItemModifier (thermalDamageResonanceMultiplier),None,None,None
3181,58,3177,417,None,"Autogenerated RIM, Target.shieldThermalDamageResonance.RIM(thermalDamageResonanceMultiplier,PreMul)",((CurrentTarget->shieldThermalDamageResonance).(PreMul)).RemoveItemModifier (thermalDamageResonanceMultiplier),None,None,None
3182,22,None,None,None,"Autogenerated skill attribute, resistanceBonus",resistanceBonus,None,None,550
3183,12,1,3182,None,"Autogenerated ATT, self.resistanceBonus",CurrentSelf->resistanceBonus,None,None,None
3184,31,5,3183,None,"Autogenerated EFF, PreMul modification to self.resistanceBonus",(CurrentSelf->resistanceBonus).(PreMul),None,None,None
3185,6,3184,1059,None,"Autogenerated AIM, self.resistanceBonus.AIM(skillLevel,PreMul)",((CurrentSelf->resistanceBonus).(PreMul)).AddItemModifier (skillLevel),None,None,None
3186,58,3184,1059,None,"Autogenerated RIM, self.resistanceBonus.RIM(skillLevel,PreMul)",((CurrentSelf->resistanceBonus).(PreMul)).RemoveItemModifier (skillLevel),None,None,None
3187,31,1095,412,None,"Autogenerated EFF, PostPercent modification to Ship.shieldThermalDamageResonance",(CurrentShip->shieldThermalDamageResonance).(PostPercent),None,None,None
3188,6,3187,3182,None,"Autogenerated AIM, Ship.shieldThermalDamageResonance.AIM(resistanceBonus,PostPercent)",((CurrentShip->shieldThermalDamageResonance).(PostPercent)).AddItemModifier (resistanceBonus),None,None,None
3189,58,3187,3182,None,"Autogenerated RIM, Ship.shieldThermalDamageResonance.RIM(resistanceBonus,PostPercent)",((CurrentShip->shieldThermalDamageResonance).(PostPercent)).RemoveItemModifier (resistanceBonus),None,None,None
3190,12,3,1991,None,"Autogenerated ATT, Char.missileFOFVelocityPercent",CurrentChar->missileFOFVelocityPercent,None,None,None
3191,31,1095,3190,None,"Autogenerated EFF, PostPercent modification to Char.missileFOFVelocityPercent",(CurrentChar->missileFOFVelocityPercent).(PostPercent),None,None,None
3192,6,3191,1488,None,"Autogenerated AIM, Char.missileFOFVelocityPercent.AIM(velocityBonus,PostPercent)",((CurrentChar->missileFOFVelocityPercent).(PostPercent)).AddItemModifier (velocityBonus),None,None,None
3193,58,3191,1488,None,"Autogenerated RIM, Char.missileFOFVelocityPercent.RIM(velocityBonus,PostPercent)",((CurrentChar->missileFOFVelocityPercent).(PostPercent)).RemoveItemModifier (velocityBonus),None,None,None
3194,12,3,1989,None,"Autogenerated ATT, Char.torpedoVelocityPercent",CurrentChar->torpedoVelocityPercent,None,None,None
3195,31,1095,3194,None,"Autogenerated EFF, PostPercent modification to Char.torpedoVelocityPercent",(CurrentChar->torpedoVelocityPercent).(PostPercent),None,None,None
3196,6,3195,1488,None,"Autogenerated AIM, Char.torpedoVelocityPercent.AIM(velocityBonus,PostPercent)",((CurrentChar->torpedoVelocityPercent).(PostPercent)).AddItemModifier (velocityBonus),None,None,None
3197,58,3195,1488,None,"Autogenerated RIM, Char.torpedoVelocityPercent.RIM(velocityBonus,PostPercent)",((CurrentChar->torpedoVelocityPercent).(PostPercent)).RemoveItemModifier (velocityBonus),None,None,None
3198,12,3,1979,None,"Autogenerated ATT, Char.missileStandardVelocityPecent",CurrentChar->missileStandardVelocityPecent,None,None,None
3199,31,1095,3198,None,"Autogenerated EFF, PostPercent modification to Char.missileStandardVelocityPecent",(CurrentChar->missileStandardVelocityPecent).(PostPercent),None,None,None
3200,6,3199,3155,None,"Autogenerated AIM, Char.missileStandardVelocityPecent.AIM(missileVelocityBonus ,PostPercent)",((CurrentChar->missileStandardVelocityPecent).(PostPercent)).AddItemModifier (missileVelocityBonus),None,None,None
3201,58,3199,3155,None,"Autogenerated RIM, Char.missileStandardVelocityPecent.RIM(missileVelocityBonus ,PostPercent)",((CurrentChar->missileStandardVelocityPecent).(PostPercent)).RemoveItemModifier (missileVelocityBonus),None,None,None
3202,6,3195,3155,None,"Autogenerated AIM, Char.torpedoVelocityPercent.AIM(missileVelocityBonus ,PostPercent)",((CurrentChar->torpedoVelocityPercent).(PostPercent)).AddItemModifier (missileVelocityBonus),None,None,None
3203,58,3195,3155,None,"Autogenerated RIM, Char.torpedoVelocityPercent.RIM(missileVelocityBonus ,PostPercent)",((CurrentChar->torpedoVelocityPercent).(PostPercent)).RemoveItemModifier (missileVelocityBonus),None,None,None
3204,6,3191,3155,None,"Autogenerated AIM, Char.missileFOFVelocityPercent.AIM(missileVelocityBonus ,PostPercent)",((CurrentChar->missileFOFVelocityPercent).(PostPercent)).AddItemModifier (missileVelocityBonus),None,None,None
3205,58,3191,3155,None,"Autogenerated RIM, Char.missileFOFVelocityPercent.RIM(missileVelocityBonus ,PostPercent)",((CurrentChar->missileFOFVelocityPercent).(PostPercent)).RemoveItemModifier (missileVelocityBonus),None,None,None
3206,12,4,1987,None,"Autogenerated ATT, Ship.heavyMissileSpeedPercent",CurrentShip->heavyMissileSpeedPercent,None,None,None
3207,6,3034,3155,None,"Autogenerated AIM, Char.heavyMissileSpeedPercent.AIM(missileVelocityBonus ,PostPercent)",((CurrentChar->heavyMissileSpeedPercent).(PostPercent)).AddItemModifier (missileVelocityBonus),None,None,None
3208,6,3034,3155,None,"Autogenerated AIM, Char.heavyMissileSpeedPercent.AIM(missileVelocityBonus ,PostPercent)",((CurrentChar->heavyMissileSpeedPercent).(PostPercent)).AddItemModifier (missileVelocityBonus),None,None,None
3209,31,1095,3206,None,"Autogenerated EFF, PostPercent modification to Ship.heavyMissileSpeedPercent",(CurrentShip->heavyMissileSpeedPercent).(PostPercent),None,None,None
3210,58,3034,3155,None,"Autogenerated RIM, Char.heavyMissileSpeedPercent.RIM(missileVelocityBonus ,PostPercent)",((CurrentChar->heavyMissileSpeedPercent).(PostPercent)).RemoveItemModifier (missileVelocityBonus),None,None,None
3211,58,3034,3155,None,"Autogenerated RIM, Char.heavyMissileSpeedPercent.RIM(missileVelocityBonus ,PostPercent)",((CurrentChar->heavyMissileSpeedPercent).(PostPercent)).RemoveItemModifier (missileVelocityBonus),None,None,None
3212,6,3209,3155,None,"Autogenerated AIM, Ship.heavyMissileSpeedPercent.AIM(missileVelocityBonus ,PostPercent)",((CurrentShip->heavyMissileSpeedPercent).(PostPercent)).AddItemModifier (missileVelocityBonus),None,None,None
3213,58,3209,3155,None,"Autogenerated RIM, Ship.heavyMissileSpeedPercent.RIM(missileVelocityBonus ,PostPercent)",((CurrentShip->heavyMissileSpeedPercent).(PostPercent)).RemoveItemModifier (missileVelocityBonus),None,None,None
3214,22,None,None,None,,rocketVelocityPercent,None,None,551
3215,22,None,None,None,Signature Radius is used for turret tracking and scanning.,signatureRadius,None,None,552
3216,40,1739,None,None,Attribute shieldCapacity,shieldCapacity,None,None,None
3217,31,1095,3216,None,"Autogenerated EFF, PostPercent modification to shieldCapacity",(shieldCapacity).(PostPercent),None,None,None
3218,3,3217,1734,None,"Autogenerated AGIM, (shieldCapacity of ships in gang).AIM(PostPercent,shieldCapacityBonus)",[(shieldCapacity).(PostPercent)].AGIM(shieldCapacityBonus),None,None,None
3219,55,3217,1734,None,"Autogenerated RGIM, (shieldCapacity of ships in gang).RIM(PostPercent,shieldCapacityBonus)",[(shieldCapacity).(PostPercent)].RGIM(shieldCapacityBonus),None,None,None
3220,40,802,None,None,Attribute maxTargetRange,maxTargetRange,None,None,None
3221,31,1095,3220,None,"Autogenerated EFF, PostPercent modification to maxTargetRange",(maxTargetRange).(PostPercent),None,None,None
3222,3,3221,1409,None,"Autogenerated AGIM, (maxTargetRange of ships in gang).AIM(PostPercent,maxTargetRangeBonus)",[(maxTargetRange).(PostPercent)].AGIM(MaxTargetRangeBonus),None,None,None
3223,55,3221,1409,None,"Autogenerated RGIM, (maxTargetRange of ships in gang).RIM(PostPercent,maxTargetRangeBonus)",[(maxTargetRange).(PostPercent)].RGIM(MaxTargetRangeBonus),None,None,None
3224,22,None,None,None,"Autogenerated skill attribute, maxGangSizeBonus",maxGangSizeBonus,None,None,553
3225,12,1,3224,None,"Autogenerated ATT, self.maxGangSizeBonus",CurrentSelf->maxGangSizeBonus,None,None,None
3226,31,5,3225,None,"Autogenerated EFF, PreMul modification to self.maxGangSizeBonus",(CurrentSelf->maxGangSizeBonus).(PreMul),None,None,None
3227,6,3226,1059,None,"Autogenerated AIM, self.maxGangSizeBonus.AIM(skillLevel,PreMul)",((CurrentSelf->maxGangSizeBonus).(PreMul)).AddItemModifier (skillLevel),None,None,None
3228,58,3226,1059,None,"Autogenerated RIM, self.maxGangSizeBonus.RIM(skillLevel,PreMul)",((CurrentSelf->maxGangSizeBonus).(PreMul)).RemoveItemModifier (skillLevel),None,None,None
3229,12,3,2260,None,"Autogenerated ATT, Char.maxGangSize",CurrentChar->maxGangModules,None,None,None
3230,31,1095,3229,None,"Autogenerated EFF, PostPercent modification to Char.maxGangSize",(CurrentChar->maxGangModules).(PostPercent),None,None,None
3231,6,3230,3224,None,"Autogenerated AIM, Char.maxGangSize.AIM(maxGangSizeBonus,PostPercent)",((CurrentChar->maxGangModules).(PostPercent)).AddItemModifier (maxGangSizeBonus),None,None,None
3232,58,3230,3224,None,"Autogenerated RIM, Char.maxGangSize.RIM(maxGangSizeBonus,PostPercent)",((CurrentChar->maxGangModules).(PostPercent)).RemoveItemModifier (maxGangSizeBonus),None,None,None
3233,31,7,3229,None,"Autogenerated EFF, ModAdd modification to Char.maxGangSize",(CurrentChar->maxGangModules).(ModAdd),None,None,None
3234,6,3233,3224,None,"Autogenerated AIM, Char.maxGangSize.AIM(maxGangSizeBonus,ModAdd)",((CurrentChar->maxGangModules).(ModAdd)).AddItemModifier (maxGangSizeBonus),None,None,None
3235,58,3233,3224,None,"Autogenerated RIM, Char.maxGangSize.RIM(maxGangSizeBonus,ModAdd)",((CurrentChar->maxGangModules).(ModAdd)).RemoveItemModifier (maxGangSizeBonus),None,None,None
3236,40,2714,None,None,Attribute capacitorCapacity,capacitorCapacity,None,None,None
3237,31,1095,3236,None,"Autogenerated EFF, PostPercent modification to capacitorCapacity",(capacitorCapacity).(PostPercent),None,None,None
3238,3,3237,226,None,"Autogenerated AGIM, (capacitorCapacity of ships in gang).AIM(PostPercent,capacitorBonus)",[(capacitorCapacity).(PostPercent)].AGIM(capacitorBonus),None,None,None
